French Course: A French course based on Lulu Liberté
Word;Translation;Summary;Note;Level
brun(e);brown-haired;Used for people with brown hair.;"### **Age & appearance II (Hair & lifestyle)**

These adjectives describe physical appearance or lifestyle. They are often used to contrast people.
";Chapter 1
blond(e);blond-haired;Used for people with blond hair.;;Chapter 1
sédentaire;sedentary;Describes someone with little physical activity.;;Chapter 1
jeune d’esprit;young at heart;Used for someone who feels or acts young.;;Chapter 1
bien habillé(e);well dressed;Used to describe someone’s clothing style.;;Chapter 1
Bonjour, je suis Marie.;Hello, I’m Marie.;A basic greeting and self-introduction.;"### **Example sentences I**

These sentences bring together many of the words and patterns from this chapter. They show how simple pieces combine to form clear, natural statements.

";Chapter 1
Je suis étudiante.;I am a student.;Using être with a profession.;;Chapter 1
Elle est danoise.;She is Danish.;Nationality adjective agreeing with the subject.;;Chapter 1
Le professeur est sérieux.;The teacher is serious.;Noun + adjective agreement.;;Chapter 1
La classe est calme.;The class is calm.;Describing a place with an adjective.;;Chapter 1
Nous sommes étudiants.;We are students.;Plural subject with être.;"### **Example sentences II**

These sentences show plural forms, polite address, and simple descriptions of people and objects.
";Chapter 1
Ils sont sociables.;They are sociable.;Plural adjective agreement.;;Chapter 1
Les chaises sont dans la classe.;The chairs are in the classroom.;Plural noun with article and location phrase.;;Chapter 1
Bonjour, comment allez-vous ?;Hello, how are you?;Polite address with vous.;;Chapter 1
Le tableau est grand.;The board is big.;Describing a classroom object.;;Chapter 1
